filename,locX,locY,globalX,globalY
stage_0147,63,49,6416,10263
stage_0147,92,122,6445,10336
stage_0147,95,243,6448,10457
stage_0147,109,243,6462,10457
stage_0147,247,719,6600,10933
stage_0147,276,757,6629,10971
stage_0147,389,830,6742,11044
stage_0147,397,394,6750,10608
stage_0147,407,820,6760,11034
stage_0147,519,52,6872,10266
stage_0147,551,93,6904,10307
stage_0147,570,32,6923,10246
stage_0147,845,580,7198,10794
stage_0147,1052,20,7405,10234
stage_0147,1056,47,7409,10261
stage_0147,1058,18,7411,10232
stage_0147,1063,123,7416,10337
stage_0098,1226,590,5065,15424
stage_0092,1043,823,4882,10113
stage_0092,1169,603,5008,9893
stage_0094,729,812,4568,11950
stage_0125,16,755,5112,15589
stage_0125,28,809,5124,15643
stage_0181,577,822,8187,17504
stage_0181,691,615,8301,17297
stage_0181,709,615,8319,17297
stage_0181,824,245,8434,16927
stage_0181,889,174,8499,16856
stage_0181,919,523,8529,17205
stage_0181,957,95,8567,16777
stage_0181,993,139,8603,16821
stage_0181,998,84,8608,16766
stage_0093,264,484,4103,10698
stage_0093,340,407,4179,10621
stage_0093,581,254,4420,10468
stage_0093,667,287,4506,10501
stage_0093,723,207,4562,10421
stage_0093,733,174,4572,10388
stage_0093,750,169,4589,10383
stage_0093,1091,12,4930,10226
stage_0093,1109,177,4948,10391
stage_0093,1130,342,4969,10556
stage_0093,1142,112,4981,10326
stage_0093,1146,171,4985,10385
stage_0093,1151,439,4990,10653
stage_0093,1152,55,4991,10269
stage_0093,1157,136,4996,10350
stage_0093,1177,249,5016,10463
stage_0093,1188,131,5027,10345
stage_0093,1192,106,5031,10320
stage_0093,1194,65,5033,10279
stage_0093,1197,96,5036,10310
stage_0093,1208,82,5047,10296
stage_0093,1214,259,5053,10473
stage_0093,1220,162,5059,10376
stage_0093,1235,47,5074,10261
stage_0093,1239,220,5078,10434
stage_0093,1246,207,5085,10421
stage_0119,221,896,5317,10186
stage_0119,333,858,5429,10148
stage_0119,339,865,5435,10155
stage_0119,402,840,5498,10130
stage_0119,469,814,5565,10104
stage_0119,470,837,5566,10127
stage_0119,471,874,5567,10164
stage_0119,491,859,5587,10149
stage_0119,498,879,5594,10169
stage_0119,503,823,5599,10113
stage_0119,511,819,5607,10109
stage_0119,587,519,5683,9809
stage_0119,605,856,5701,10146
stage_0119,608,788,5704,10078
stage_0119,625,787,5721,10077
stage_0119,648,783,5744,10073
stage_0119,660,669,5756,9959
stage_0119,677,600,5773,9890
stage_0119,687,829,5783,10119
stage_0119,688,587,5784,9877
stage_0119,694,679,5790,9969
stage_0119,697,686,5793,9976
stage_0119,713,681,5809,9971
stage_0119,742,775,5838,10065
stage_0119,767,825,5863,10115
stage_0175,74,20,7684,11158
stage_0177,203,66,7813,13052
stage_0177,422,459,8032,13445
stage_0177,434,465,8044,13451
stage_0177,733,820,8343,13806
stage_0177,1188,52,8798,13038
stage_0150,522,184,6875,13170
stage_0155,79,116,6432,17722
stage_0155,108,153,6461,17759
stage_0155,115,18,6468,17624
stage_0155,117,151,6470,17757
stage_0155,133,11,6486,17617
stage_0155,141,117,6494,17723
stage_0155,158,50,6511,17656
stage_0155,164,357,6517,17963
stage_0155,192,58,6545,17664
stage_0155,273,5,6626,17611
stage_0155,289,23,6642,17629
stage_0155,377,44,6730,17650
stage_0155,811,6,7164,17612
stage_0153,163,883,6516,16641
stage_0153,290,893,6643,16651
stage_0153,1154,697,7507,16455
stage_0153,1158,529,7511,16287
stage_0123,24,448,5120,13434
stage_0123,98,163,5194,13149
stage_0123,167,686,5263,13672
stage_0123,172,189,5268,13175
stage_0123,180,89,5276,13075
stage_0123,191,469,5287,13455
stage_0123,197,810,5293,13796
stage_0123,202,472,5298,13458
stage_0123,207,309,5303,13295
stage_0123,245,518,5341,13504
stage_0123,261,43,5357,13029
stage_0123,269,26,5365,13012
stage_0123,274,38,5370,13024
stage_0123,274,55,5370,13041
stage_0123,285,60,5381,13046
stage_0123,289,379,5385,13365
stage_0123,293,105,5389,13091
stage_0123,409,753,5505,13739
stage_0123,466,101,5562,13087
stage_0123,467,26,5563,13012
stage_0123,477,10,5573,12996
stage_0123,483,97,5579,13083
stage_0123,485,70,5581,13056
stage_0123,487,54,5583,13040
stage_0123,839,595,5935,13581
stage_0123,1235,787,6331,13773
stage_0148,105,664,6458,11802
stage_0148,107,544,6460,11682
stage_0148,145,598,6498,11736
stage_0148,170,285,6523,11423
stage_0148,172,663,6525,11801
stage_0148,176,586,6529,11724
stage_0148,183,654,6536,11792
stage_0148,189,668,6542,11806
stage_0148,192,600,6545,11738
stage_0148,194,657,6547,11795
stage_0148,208,561,6561,11699
stage_0148,268,356,6621,11494
stage_0148,288,325,6641,11463
stage_0148,317,83,6670,11221
stage_0148,326,79,6679,11217
stage_0154,10,476,6363,17158
stage_0154,11,395,6364,17077
stage_0154,16,801,6369,17483
stage_0154,18,816,6371,17498
stage_0154,20,479,6373,17161
stage_0154,26,651,6379,17333
stage_0154,32,799,6385,17481
stage_0154,34,716,6387,17398
stage_0154,38,668,6391,17350
stage_0154,49,651,6402,17333
stage_0154,50,695,6403,17377
stage_0154,52,801,6405,17483
stage_0154,55,662,6408,17344
stage_0154,56,805,6409,17487
stage_0154,57,642,6410,17324
stage_0154,62,290,6415,16972
stage_0154,62,375,6415,17057
stage_0154,68,701,6421,17383
stage_0154,71,808,6424,17490
stage_0154,78,710,6431,17392
stage_0154,81,407,6434,17089
stage_0154,97,865,6450,17547
stage_0154,106,622,6459,17304
stage_0154,106,879,6459,17561
stage_0154,109,918,6462,17600
stage_0154,120,598,6473,17280
stage_0154,124,584,6477,17266
stage_0154,130,271,6483,16953
stage_0154,130,568,6483,17250
stage_0154,139,884,6492,17566
stage_0154,143,657,6496,17339
stage_0154,149,57,6502,16739
stage_0154,152,654,6505,17336
stage_0154,166,292,6519,16974
stage_0154,169,617,6522,17299
stage_0154,171,625,6524,17307
stage_0154,173,595,6526,17277
stage_0154,176,817,6529,17499
stage_0154,179,834,6532,17516
stage_0154,180,599,6533,17281
stage_0154,181,243,6534,16925
stage_0154,181,716,6534,17398
stage_0154,184,813,6537,17495
stage_0154,186,259,6539,16941
stage_0154,191,723,6544,17405
stage_0154,194,708,6547,17390
stage_0154,194,901,6547,17583
stage_0154,199,646,6552,17328
stage_0154,206,635,6559,17317
stage_0154,222,618,6575,17300
stage_0154,225,741,6578,17423
stage_0154,234,285,6587,16967
stage_0154,244,286,6597,16968
stage_0154,252,634,6605,17316
stage_0154,254,294,6607,16976
stage_0154,259,637,6612,17319
stage_0154,261,732,6614,17414
stage_0154,269,296,6622,16978
stage_0154,281,320,6634,17002
stage_0154,287,293,6640,16975
stage_0154,295,332,6648,17014
stage_0154,299,195,6652,16877
stage_0154,299,722,6652,17404
stage_0154,314,701,6667,17383
stage_0154,319,326,6672,17008
stage_0154,326,708,6679,17390
stage_0154,329,667,6682,17349
stage_0154,344,328,6697,17010
stage_0154,347,678,6700,17360
stage_0154,354,710,6707,17392
stage_0154,375,777,6728,17459
stage_0154,416,251,6769,16933
stage_0154,417,189,6770,16871
stage_0154,424,605,6777,17287
stage_0154,443,497,6796,17179
stage_0154,447,707,6800,17389
stage_0154,450,762,6803,17444
stage_0154,474,341,6827,17023
stage_0154,564,784,6917,17466
stage_0154,607,761,6960,17443
stage_0154,731,150,7084,16832
stage_0154,880,248,7233,16930
stage_0146,137,525,6490,9815
stage_0146,227,143,6580,9433
stage_0146,674,172,7027,9462
stage_0146,830,736,7183,10026
stage_0146,861,790,7214,10080
stage_0146,870,678,7223,9968
stage_0146,927,839,7280,10129
stage_0146,973,758,7326,10048
stage_0231,822,681,10946,13667
stage_0231,960,434,11084,13420
stage_0231,1196,324,11320,13310
stage_0174,1011,6,8621,10220
stage_0174,1048,15,8658,10229
