filename,locX,locY,globalX,globalY
stage_0147,2,168,6355,10382
stage_0147,3,636,6356,10850
stage_0147,4,856,6357,11070
stage_0147,4,868,6357,11082
stage_0147,5,386,6358,10600
stage_0147,8,87,6361,10301
stage_0147,16,95,6369,10309
stage_0147,21,181,6374,10395
stage_0147,24,234,6377,10448
stage_0147,26,65,6379,10279
stage_0147,30,146,6383,10360
stage_0147,31,396,6384,10610
stage_0147,32,771,6385,10985
stage_0147,34,37,6387,10251
stage_0147,34,51,6387,10265
stage_0147,34,101,6387,10315
stage_0147,34,387,6387,10601
stage_0147,35,374,6388,10588
stage_0147,35,446,6388,10660
stage_0147,37,171,6390,10385
stage_0147,42,162,6395,10376
stage_0147,47,64,6400,10278
stage_0147,49,426,6402,10640
stage_0147,49,607,6402,10821
stage_0147,51,146,6404,10360
stage_0147,52,81,6405,10295
stage_0147,52,273,6405,10487
stage_0147,53,102,6406,10316
stage_0147,58,431,6411,10645
stage_0147,59,396,6412,10610
stage_0147,60,79,6413,10293
stage_0147,61,63,6414,10277
stage_0147,61,265,6414,10479
stage_0147,63,35,6416,10249
stage_0147,65,3,6418,10217
stage_0147,68,412,6421,10626
stage_0147,69,20,6422,10234
stage_0147,70,398,6423,10612
stage_0147,71,69,6424,10283
stage_0147,75,818,6428,11032
stage_0147,76,795,6429,11009
stage_0147,77,32,6430,10246
stage_0147,78,437,6431,10651
stage_0147,86,19,6439,10233
stage_0147,86,407,6439,10621
stage_0147,88,5,6441,10219
stage_0147,89,449,6442,10663
stage_0147,90,376,6443,10590
stage_0147,90,495,6443,10709
stage_0147,94,66,6447,10280
stage_0147,96,8,6449,10222
stage_0147,96,306,6449,10520
stage_0147,98,773,6451,10987
stage_0147,99,583,6452,10797
stage_0147,101,136,6454,10350
stage_0147,101,771,6454,10985
stage_0147,102,104,6455,10318
stage_0147,104,503,6457,10717
stage_0147,108,362,6461,10576
stage_0147,110,135,6463,10349
stage_0147,110,376,6463,10590
stage_0147,112,99,6465,10313
stage_0147,113,48,6466,10262
stage_0147,113,112,6466,10326
stage_0147,113,490,6466,10704
stage_0147,114,97,6467,10311
stage_0147,114,168,6467,10382
stage_0147,115,891,6468,11105
stage_0147,117,346,6470,10560
stage_0147,118,50,6471,10264
stage_0147,118,469,6471,10683
stage_0147,121,363,6474,10577
stage_0147,126,341,6479,10555
stage_0147,126,347,6479,10561
stage_0147,128,756,6481,10970
stage_0147,129,830,6482,11044
stage_0147,130,332,6483,10546
stage_0147,131,319,6484,10533
stage_0147,131,502,6484,10716
stage_0147,134,17,6487,10231
stage_0147,134,133,6487,10347
stage_0147,135,341,6488,10555
stage_0147,137,731,6490,10945
stage_0147,137,916,6490,11130
stage_0147,138,344,6491,10558
stage_0147,143,356,6496,10570
stage_0147,144,335,6497,10549
stage_0147,144,374,6497,10588
stage_0147,145,63,6498,10277
stage_0147,145,217,6498,10431
stage_0147,145,917,6498,11131
stage_0147,148,334,6501,10548
stage_0147,148,910,6501,11124
stage_0147,150,851,6503,11065
stage_0147,151,218,6504,10432
stage_0147,151,430,6504,10644
stage_0147,151,505,6504,10719
stage_0147,153,361,6506,10575
stage_0147,154,849,6507,11063
stage_0147,155,272,6508,10486
stage_0147,156,292,6509,10506
stage_0147,157,250,6510,10464
stage_0147,157,475,6510,10689
stage_0147,158,460,6511,10674
stage_0147,158,847,6511,11061
stage_0147,159,339,6512,10553
stage_0147,161,341,6514,10555
stage_0147,161,890,6514,11104
stage_0147,162,916,6515,11130
stage_0147,163,307,6516,10521
stage_0147,163,488,6516,10702
stage_0147,166,279,6519,10493
stage_0147,166,884,6519,11098
stage_0147,167,382,6520,10596
stage_0147,167,592,6520,10806
stage_0147,167,849,6520,11063
stage_0147,168,432,6521,10646
stage_0147,169,885,6522,11099
