filename,locX,locY,globalX,globalY
stage_0147,473,574,6826,10788
stage_0147,497,590,6850,10804
stage_0147,507,591,6860,10805
stage_0147,514,739,6867,10953
stage_0147,516,762,6869,10976
stage_0147,522,722,6875,10936
stage_0147,529,746,6882,10960
stage_0147,536,740,6889,10954
stage_0147,578,839,6931,11053
stage_0147,596,675,6949,10889
stage_0147,599,585,6952,10799
stage_0147,601,716,6954,10930
stage_0147,609,564,6962,10778
stage_0147,611,775,6964,10989
stage_0147,612,788,6965,11002
stage_0147,615,715,6968,10929
stage_0147,615,812,6968,11026
stage_0147,616,637,6969,10851
stage_0147,618,627,6971,10841
stage_0147,628,752,6981,10966
stage_0147,633,711,6986,10925
stage_0147,636,804,6989,11018
stage_0147,637,825,6990,11039
stage_0147,641,862,6994,11076
stage_0147,648,843,7001,11057
stage_0147,649,769,7002,10983
stage_0147,650,748,7003,10962
stage_0147,658,868,7011,11082
stage_0147,660,809,7013,11023
stage_0147,662,790,7015,11004
stage_0147,664,825,7017,11039
stage_0147,671,750,7024,10964
stage_0147,674,840,7027,11054
stage_0147,677,858,7030,11072
stage_0147,681,769,7034,10983
stage_0147,681,879,7034,11093
stage_0147,682,647,7035,10861
stage_0147,685,794,7038,11008
stage_0147,685,824,7038,11038
stage_0147,698,669,7051,10883
stage_0147,698,790,7051,11004
stage_0147,701,772,7054,10986
stage_0147,701,872,7054,11086
stage_0147,707,855,7060,11069
stage_0147,708,653,7061,10867
stage_0147,710,800,7063,11014
stage_0147,714,616,7067,10830
stage_0147,714,838,7067,11052
stage_0147,716,876,7069,11090
stage_0147,717,668,7070,10882
stage_0147,722,645,7075,10859
stage_0147,728,813,7081,11027
stage_0147,729,867,7082,11081
stage_0147,731,741,7084,10955
stage_0147,732,852,7085,11066
stage_0147,734,792,7087,11006
stage_0147,734,835,7087,11049
stage_0147,736,716,7089,10930
stage_0147,736,737,7089,10951
stage_0147,749,842,7102,11056
stage_0147,751,810,7104,11024
stage_0147,752,862,7105,11076
stage_0147,754,743,7107,10957
stage_0147,756,825,7109,11039
stage_0147,759,722,7112,10936
stage_0147,768,712,7121,10926
stage_0147,772,819,7125,11033
stage_0147,778,513,7131,10727
stage_0147,779,798,7132,11012
stage_0147,780,731,7133,10945
stage_0147,781,623,7134,10837
stage_0147,793,811,7146,11025
stage_0147,796,833,7149,11047
stage_0147,841,766,7194,10980
stage_0147,841,789,7194,11003
stage_0147,859,791,7212,11005
stage_0147,872,902,7225,11116
stage_0147,880,917,7233,11131
stage_0147,901,910,7254,11124
stage_0098,1014,66,4853,14900
stage_0098,1025,47,4864,14881
stage_0098,1195,404,5034,15238
stage_0098,1209,805,5048,15639
stage_0098,1212,815,5051,15649
stage_0098,1216,456,5055,15290
stage_0094,0,597,3839,11735
stage_0094,2,918,3841,12056
stage_0094,3,448,3842,11586
stage_0094,4,704,3843,11842
stage_0094,6,401,3845,11539
stage_0094,6,506,3845,11644
stage_0094,8,904,3847,12042
stage_0094,11,381,3850,11519
stage_0094,12,566,3851,11704
stage_0094,12,684,3851,11822
stage_0094,13,549,3852,11687
stage_0094,13,643,3852,11781
stage_0094,14,344,3853,11482
stage_0094,16,259,3855,11397
stage_0094,17,580,3856,11718
stage_0094,19,497,3858,11635
stage_0094,19,662,3858,11800
stage_0094,21,103,3860,11241
stage_0094,21,770,3860,11908
stage_0094,22,356,3861,11494
stage_0094,24,233,3863,11371
stage_0094,24,789,3863,11927
stage_0094,25,276,3864,11414
stage_0094,28,189,3867,11327
stage_0094,30,753,3869,11891
stage_0094,33,423,3872,11561
stage_0094,35,918,3874,12056
stage_0094,36,456,3875,11594
stage_0094,37,601,3876,11739
stage_0094,37,868,3876,12006
stage_0094,38,215,3877,11353
stage_0094,38,729,3877,11867
stage_0094,40,178,3879,11316
stage_0094,41,129,3880,11267
stage_0094,41,580,3880,11718
stage_0094,42,364,3881,11502
stage_0094,43,824,3882,11962
stage_0094,44,275,3883,11413
stage_0094,46,885,3885,12023
stage_0094,49,531,3888,11669
stage_0094,50,323,3889,11461
stage_0094,52,216,3891,11354
stage_0094,52,740,3891,11878
stage_0094,56,240,3895,11378
stage_0094,56,675,3895,11813
stage_0094,57,337,3896,11475
stage_0094,57,861,3896,11999
stage_0094,58,753,3897,11891
stage_0094,59,463,3898,11601
stage_0094,59,832,3898,11970
stage_0094,60,688,3899,11826
stage_0094,60,871,3899,12009
stage_0094,60,901,3899,12039
stage_0094,60,919,3899,12057
stage_0094,63,817,3902,11955
stage_0094,65,275,3904,11413
stage_0094,65,441,3904,11579
stage_0094,66,541,3905,11679
stage_0094,71,246,3910,11384
stage_0094,71,887,3910,12025
stage_0094,75,452,3914,11590
stage_0094,76,798,3915,11936
stage_0094,79,103,3918,11241
stage_0094,79,227,3918,11365
stage_0094,81,640,3920,11778
stage_0094,87,666,3926,11804
stage_0094,91,618,3930,11756
stage_0094,91,790,3930,11928
stage_0094,92,279,3931,11417
stage_0094,94,229,3933,11367
stage_0094,94,424,3933,11562
stage_0094,95,447,3934,11585
stage_0094,99,68,3938,11206
stage_0094,100,832,3939,11970
stage_0094,102,184,3941,11322
stage_0094,105,268,3944,11406
stage_0094,106,198,3945,11336
stage_0094,106,897,3945,12035
stage_0094,111,877,3950,12015
stage_0094,112,522,3951,11660
