filename,locX,locY,globalX,globalY
stage_0147,3,769,6356,10983
stage_0147,4,56,6357,10270
stage_0147,4,373,6357,10587
stage_0147,4,728,6357,10942
stage_0147,5,123,6358,10337
stage_0147,5,797,6358,11011
stage_0147,6,360,6359,10574
stage_0147,7,665,6360,10879
stage_0147,7,745,6360,10959
stage_0147,9,328,6362,10542
stage_0147,9,895,6362,11109
stage_0147,9,914,6362,11128
stage_0147,12,346,6365,10560
stage_0147,12,512,6365,10726
stage_0147,15,33,6368,10247
stage_0147,15,827,6368,11041
stage_0147,16,433,6369,10647
stage_0147,18,720,6371,10934
stage_0147,21,129,6374,10343
stage_0147,21,416,6374,10630
stage_0147,22,298,6375,10512
stage_0147,22,317,6375,10531
stage_0147,23,462,6376,10676
stage_0147,24,327,6377,10541
stage_0147,27,637,6380,10851
stage_0147,27,868,6380,11082
stage_0147,28,281,6381,10495
stage_0147,28,896,6381,11110
stage_0147,30,623,6383,10837
stage_0147,32,620,6385,10834
stage_0147,33,607,6386,10821
stage_0147,34,117,6387,10331
stage_0147,35,198,6388,10412
stage_0147,35,314,6388,10528
stage_0147,36,329,6389,10543
stage_0147,37,854,6390,11068
stage_0147,39,301,6392,10515
stage_0147,39,346,6392,10560
stage_0147,42,708,6395,10922
stage_0147,43,490,6396,10704
stage_0147,43,606,6396,10820
stage_0147,44,209,6397,10423
stage_0147,44,401,6397,10615
stage_0147,46,498,6399,10712
stage_0147,46,632,6399,10846
stage_0147,48,881,6401,11095
stage_0147,49,521,6402,10735
stage_0147,50,374,6403,10588
stage_0147,52,287,6405,10501
stage_0147,52,348,6405,10562
stage_0147,53,14,6406,10228
stage_0147,54,244,6407,10458
stage_0147,55,507,6408,10721
stage_0147,56,510,6409,10724
stage_0147,58,169,6411,10383
stage_0147,59,185,6412,10399
stage_0147,59,573,6412,10787
stage_0147,59,636,6412,10850
stage_0147,59,845,6412,11059
stage_0147,61,895,6414,11109
stage_0147,62,569,6415,10783
stage_0147,64,447,6417,10661
stage_0147,66,368,6419,10582
stage_0147,66,378,6419,10592
stage_0147,66,486,6419,10700
stage_0147,67,468,6420,10682
stage_0147,68,238,6421,10452
stage_0147,69,859,6422,11073
stage_0147,70,746,6423,10960
stage_0147,73,143,6426,10357
stage_0147,73,279,6426,10493
stage_0147,73,343,6426,10557
stage_0147,73,622,6426,10836
stage_0147,73,644,6426,10858
stage_0147,74,301,6427,10515
stage_0147,74,825,6427,11039
stage_0147,74,920,6427,11134
stage_0147,75,123,6428,10337
stage_0147,75,232,6428,10446
stage_0147,75,327,6428,10541
stage_0147,76,111,6429,10325
stage_0147,79,163,6432,10377
stage_0147,79,485,6432,10699
stage_0147,83,468,6436,10682
stage_0147,84,256,6437,10470
stage_0147,86,706,6439,10920
stage_0147,88,149,6441,10363
stage_0147,89,42,6442,10256
stage_0147,89,97,6442,10311
stage_0147,89,429,6442,10643
stage_0147,90,282,6443,10496
stage_0147,90,338,6443,10552
stage_0147,92,519,6445,10733
stage_0147,95,355,6448,10569
stage_0147,99,88,6452,10302
stage_0147,100,424,6453,10638
stage_0147,100,563,6453,10777
stage_0147,102,226,6455,10440
stage_0147,103,59,6456,10273
stage_0147,104,329,6457,10543
stage_0147,104,533,6457,10747
stage_0147,105,153,6458,10367
stage_0147,107,163,6460,10377
stage_0147,107,754,6460,10968
stage_0147,110,198,6463,10412
stage_0147,110,704,6463,10918
stage_0147,110,892,6463,11106
stage_0147,111,64,6464,10278
stage_0147,111,618,6464,10832
stage_0147,112,74,6465,10288
stage_0147,112,293,6465,10507
stage_0147,116,268,6469,10482
stage_0147,116,430,6469,10644
stage_0147,119,306,6472,10520
stage_0147,119,603,6472,10817
stage_0147,119,788,6472,11002
stage_0147,123,675,6476,10889
stage_0147,123,740,6476,10954
stage_0147,123,846,6476,11060
stage_0147,124,407,6477,10621
stage_0147,126,283,6479,10497
stage_0147,127,228,6480,10442
stage_0147,128,486,6481,10700
stage_0147,128,884,6481,11098
stage_0147,129,239,6482,10453
stage_0147,129,425,6482,10639
stage_0147,130,252,6483,10466
stage_0147,130,665,6483,10879
stage_0147,132,269,6485,10483
stage_0147,132,596,6485,10810
stage_0147,133,173,6486,10387
stage_0147,134,151,6487,10365
stage_0147,135,119,6488,10333
stage_0147,135,181,6488,10395
stage_0147,136,217,6489,10431
stage_0147,140,389,6493,10603
stage_0147,140,609,6493,10823
stage_0147,142,551,6495,10765
stage_0147,143,258,6496,10472
stage_0147,143,749,6496,10963
stage_0147,144,233,6497,10447
stage_0147,144,513,6497,10727
stage_0147,144,875,6497,11089
stage_0147,146,26,6499,10240
stage_0147,147,314,6500,10528
stage_0147,147,410,6500,10624
stage_0147,148,539,6501,10753
stage_0147,151,93,6504,10307
stage_0147,151,114,6504,10328
stage_0147,152,14,6505,10228
stage_0147,154,399,6507,10613
stage_0147,155,160,6508,10374
stage_0147,156,70,6509,10284
stage_0147,158,712,6511,10926
stage_0147,158,732,6511,10946
stage_0147,160,234,6513,10448
stage_0147,162,146,6515,10360
stage_0147,163,731,6516,10945
stage_0147,163,806,6516,11020
stage_0147,165,193,6518,10407
stage_0147,165,416,6518,10630
stage_0147,167,560,6520,10774
stage_0147,168,522,6521,10736
stage_0147,169,505,6522,10719
stage_0147,171,111,6524,10325
stage_0147,171,219,6524,10433
stage_0147,172,362,6525,10576
stage_0147,173,125,6526,10339
stage_0147,175,156,6528,10370
stage_0147,175,207,6528,10421
stage_0147,175,292,6528,10506
stage_0147,176,306,6529,10520
stage_0147,180,51,6533,10265
