<X>,<Y>,Results
blue,happy,8310000
blue,depressed ,957000
blue,lively,1250000
blue,clever,1270000
blue,perplexed,71300
blue,virtuous,80200
blue, quiet ,2150000
blue,angry,1530000
green,happy,8730000
green,depressed ,983000
green,lively,1350000
green,clever,1320000
green,perplexed,80100
green,virtuous,102000
green, quiet ,2140000
green,angry,1740000
orange,happy,4220000
orange,depressed ,330000
orange,lively,621000
orange,clever,693000
orange,perplexed,23300
orange,virtuous,24700
orange, quiet ,1220000
orange,angry,1040000
grey,happy,1920000
grey,depressed ,147000
grey,lively,659000
grey,clever,495000
grey,perplexed,18900
grey,virtuous,20000
grey, quiet ,875000
grey,angry,752000
purple,happy,2610000
purple,depressed ,102000
purple,lively,488000
purple,clever,416000
purple,perplexed,15200
purple,virtuous,17300
purple, quiet ,821000
purple,angry,710000
white,happy,9150000
white,depressed ,1270000
white,lively,1480000
white,clever,1420000
white,perplexed,109000
white,virtuous,165000
white, quiet ,2510000
white,angry,1730000
black,happy,19300000
black,depressed ,1480000
black,lively,1840000
black,clever,1650000
black,perplexed,110000
black,virtuous,179000
black, quiet ,2770000
black,angry,2970000
