node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
CXCR3	CCR7	1855969	1843829	ENSP00000362795	ENSP00000246657	0.000	0.000	0.000	0.847	0.000	0.000	0.900	0.878	0.913
ITGA4	EED	1858446	1845338	ENSP00000380227	ENSP00000263360	0.000	0.000	0.000	0.000	0.000	0.566	0.000	0.312	0.688
CXCR5	CXCL13	1847335	1847033	ENSP00000292174	ENSP00000286758	0.000	0.000	0.000	0.000	0.000	0.812	0.900	0.824	0.996
PF4	CXCR5	1847665	1847335	ENSP00000296029	ENSP00000292174	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.151	0.822
THBD	PF4	1856612	1847665	ENSP00000366307	ENSP00000296029	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.070	0.957
CCL19	CCR7	1849114	1843829	ENSP00000308815	ENSP00000246657	0.000	0.000	0.000	0.000	0.000	0.812	0.900	0.983	0.999
CXCL13	CCR7	1847033	1843829	ENSP00000286758	ENSP00000246657	0.000	0.000	0.000	0.000	0.000	0.575	0.900	0.680	0.985
CD44	ITGA4	1860096	1858446	ENSP00000398632	ENSP00000380227	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.643	0.842
ITGA4	CCR7	1858446	1843829	ENSP00000380227	ENSP00000246657	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.647	0.647
CXCR5	CCR7	1847335	1843829	ENSP00000292174	ENSP00000246657	0.000	0.000	0.000	0.851	0.079	0.000	0.900	0.720	0.914
ITGA4	CXCR3	1858446	1855969	ENSP00000380227	ENSP00000362795	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.505	0.505
CCL19	CXCR5	1849114	1847335	ENSP00000308815	ENSP00000292174	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.625	0.960
CCL19	CXCL13	1849114	1847033	ENSP00000308815	ENSP00000286758	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.670	0.984
CXCR3	PF4	1855969	1847665	ENSP00000362795	ENSP00000296029	0.000	0.000	0.000	0.000	0.000	0.564	0.900	0.649	0.983
THBD	CCR7	1856612	1843829	ENSP00000366307	ENSP00000246657	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.407	0.407
CXCR3	CXCR5	1855969	1847335	ENSP00000362795	ENSP00000292174	0.000	0.000	0.000	0.876	0.000	0.000	0.900	0.634	0.907
CXCR3	CCL19	1855969	1849114	ENSP00000362795	ENSP00000308815	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.745	0.973
CXCR3	CXCL13	1855969	1847033	ENSP00000362795	ENSP00000286758	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.505	0.977
PF4	CCR7	1847665	1843829	ENSP00000296029	ENSP00000246657	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.342	0.862
PF4	SRGN	1847665	1843628	ENSP00000296029	ENSP00000242465	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.303	0.967
