node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
CXCR3	CCR7	1855969	1843829	ENSP00000362795	ENSP00000246657	0.000	0.000	0.000	0.847	0.000	0.000	0.900	0.878	0.913
ITGA4	EED	1858446	1845338	ENSP00000380227	ENSP00000263360	0.000	0.000	0.000	0.000	0.000	0.566	0.000	0.312	0.688
SMC3	CENPK	1854200	1843648	ENSP00000354720	ENSP00000242872	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.081	0.904
HNRNPA1	LUC7L3	1852510	1843556	ENSP00000341826	ENSP00000240304	0.000	0.000	0.000	0.000	0.000	0.309	0.000	0.394	0.563
SMC2	RB1	1847012	1845924	ENSP00000286398	ENSP00000267163	0.000	0.000	0.000	0.000	0.136	0.000	0.900	0.097	0.915
RBBP4	CENPK	1855919	1843648	ENSP00000362592	ENSP00000242872	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.046	0.900
CXCR5	CXCL13	1847335	1847033	ENSP00000292174	ENSP00000286758	0.000	0.000	0.000	0.000	0.000	0.812	0.900	0.824	0.996
CD44	RUNX2	1860096	1855482	ENSP00000398632	ENSP00000360493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.843	0.843
PF4	CXCR5	1847665	1847335	ENSP00000296029	ENSP00000292174	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.151	0.822
THBD	PF4	1856612	1847665	ENSP00000366307	ENSP00000296029	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.070	0.957
SMARCA1	EZH2	1855408	1850211	ENSP00000360163	ENSP00000320147	0.000	0.000	0.000	0.000	0.090	0.149	0.000	0.549	0.620
HMMR	BARD1	1858139	1844829	ENSP00000377492	ENSP00000260947	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.438	0.438
MBP	MMP7	1857547	1844765	ENSP00000372025	ENSP00000260227	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.284	0.683
CCL19	CCR7	1849114	1843829	ENSP00000308815	ENSP00000246657	0.000	0.000	0.000	0.000	0.000	0.812	0.900	0.983	0.999
RBBP4	EZH2	1855919	1850211	ENSP00000362592	ENSP00000320147	0.000	0.000	0.000	0.000	0.000	0.945	0.900	0.778	0.998
RUNX2	RB1	1855482	1845924	ENSP00000360493	ENSP00000267163	0.000	0.000	0.000	0.000	0.000	0.583	0.900	0.302	0.968
RB1	HSPA8	1845924	1843112	ENSP00000267163	ENSP00000227378	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.181	0.637
DHX9	BARD1	1854615	1844829	ENSP00000356520	ENSP00000260947	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.454	0.454
CXCL13	CCR7	1847033	1843829	ENSP00000286758	ENSP00000246657	0.000	0.000	0.000	0.000	0.000	0.575	0.900	0.680	0.985
SMC2	KIF23	1847012	1844781	ENSP00000286398	ENSP00000260363	0.000	0.000	0.000	0.000	0.482	0.107	0.000	0.255	0.625
CD44	HMMR	1860096	1858139	ENSP00000398632	ENSP00000377492	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.623	0.982
CD44	ITGA4	1860096	1858446	ENSP00000398632	ENSP00000380227	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.643	0.842
SMARCE1	RB1	1850602	1845924	ENSP00000323967	ENSP00000267163	0.000	0.000	0.000	0.000	0.000	0.000	0.720	0.066	0.727
ITGA4	CCR7	1858446	1843829	ENSP00000380227	ENSP00000246657	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.647	0.647
MBP	STK4	1857547	1855759	ENSP00000372025	ENSP00000361892	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.584	0.816
RBBP4	LIN9	1855919	1851108	ENSP00000362592	ENSP00000329102	0.000	0.000	0.000	0.000	0.000	0.852	0.900	0.780	0.996
RB1	EED	1845924	1845338	ENSP00000267163	ENSP00000263360	0.000	0.000	0.000	0.000	0.092	0.664	0.000	0.384	0.795
CXCR5	CCR7	1847335	1843829	ENSP00000292174	ENSP00000246657	0.000	0.000	0.000	0.851	0.079	0.000	0.900	0.720	0.914
PSMA1	HSPA8	1861079	1843112	ENSP00000414359	ENSP00000227378	0.000	0.000	0.000	0.000	0.000	0.099	0.900	0.191	0.920
RBBP4	SMARCA1	1855919	1855408	ENSP00000362592	ENSP00000360163	0.000	0.000	0.000	0.000	0.144	0.873	0.900	0.735	0.996
ITGA4	CXCR3	1858446	1855969	ENSP00000380227	ENSP00000362795	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.505	0.505
CDK12	MBP	1860122	1857547	ENSP00000398880	ENSP00000372025	0.000	0.000	0.000	0.000	0.000	0.564	0.000	0.075	0.579
CCL19	CXCR5	1849114	1847335	ENSP00000308815	ENSP00000292174	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.625	0.960
SMARCA1	EED	1855408	1845338	ENSP00000360163	ENSP00000263360	0.000	0.000	0.000	0.000	0.069	0.321	0.000	0.336	0.544
CLTC	AP3B1	1846064	1844363	ENSP00000269122	ENSP00000255194	0.000	0.000	0.000	0.000	0.080	0.709	0.000	0.449	0.840
CCL19	CXCL13	1849114	1847033	ENSP00000308815	ENSP00000286758	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.670	0.984
CXCR3	PF4	1855969	1847665	ENSP00000362795	ENSP00000296029	0.000	0.000	0.000	0.000	0.000	0.564	0.900	0.649	0.983
TCERG1	HSPA8	1847779	1843112	ENSP00000296702	ENSP00000227378	0.000	0.000	0.000	0.000	0.000	0.667	0.000	0.183	0.716
RBBP4	RB1	1855919	1845924	ENSP00000362592	ENSP00000267163	0.000	0.000	0.000	0.000	0.100	0.995	0.900	0.758	0.999
CLTC	EED	1846064	1845338	ENSP00000269122	ENSP00000263360	0.000	0.000	0.000	0.000	0.000	0.321	0.000	0.169	0.411
