chr	start	end	length	CpGcount	GCcontent	pctGC	obsExp
chr10	93098	93818	721	32	403	0.559	0.572
chr10	94002	94165	164	12	97	0.591	0.841
chr10	94527	95302	776	65	538	0.693	0.702
chr10	119652	120193	542	53	369	0.681	0.866
chr10	122133	122621	489	51	339	0.693	0.88
chr10	180265	180720	456	32	256	0.561	0.893
chr10	180865	182549	1685	230	1263	0.75	0.984
chr10	242994	243152	159	10	74	0.465	1.193
chr10	313778	313905	128	6	64	0.5	0.769
chr10	319183	319290	108	8	68	0.63	0.75
chr10	321809	321998	190	10	113	0.595	0.596
chr10	323315	323465	151	11	92	0.609	0.791
chr10	323625	323770	146	11	87	0.596	0.991
chr10	324003	324088	86	7	60	0.698	0.672
chr10	327172	327614	443	24	248	0.56	0.692
chr10	334493	334801	309	14	171	0.553	0.594
chr10	346533	346829	297	30	210	0.707	0.833
chr10	348952	349176	225	16	105	0.467	1.326
chr10	357295	357450	156	12	106	0.679	0.667
chr10	367490	369444	1955	224	1329	0.68	1.084
chr10	372859	373160	302	22	185	0.613	0.783
chr10	373991	374131	141	10	85	0.603	0.794
chr10	384260	384304	45	4	28	0.622	1
chr10	384491	384654	164	9	90	0.549	0.747
chr10	387365	387535	171	13	104	0.608	0.83
chr10	390268	394009	3742	271	2158	0.577	0.975
chr10	394288	394904	617	26	346	0.561	0.54
chr10	395107	395484	378	27	237	0.627	0.733
chr10	396975	397324	350	24	205	0.586	0.816
chr10	403584	403874	291	23	183	0.629	0.82
chr10	404127	404267	141	7	69	0.489	0.838
chr10	405132	405440	309	14	180	0.583	0.535
chr10	409255	409524	270	18	169	0.626	0.686
chr10	410345	410443	99	11	68	0.687	0.955
chr10	411791	411915	125	6	81	0.648	0.458
chr10	412171	412304	134	6	77	0.575	0.564
chr10	413697	414144	448	37	310	0.692	0.692
chr10	422019	422412	394	27	243	0.617	0.723
chr10	423554	423680	127	5	76	0.598	0.447
chr10	426236	426742	507	17	246	0.485	0.57
chr10	431124	431294	171	7	100	0.585	0.491
chr10	431510	432236	727	32	424	0.583	0.519
chr10	432818	433146	329	13	164	0.498	0.668
chr10	435711	436671	961	49	510	0.531	0.724
chr10	438207	438526	320	17	187	0.584	0.622
chr10	438659	438847	189	16	113	0.598	1.337
