#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
HMMR	NDC80	993371	978749	ENSP00000377492	ENSP00000261597	0.000	0.000	0.000	0.543	0.914	0.000	0.000	0.000	0.914
ASPM	DLGAP5	989461	977576	ENSP00000356379	ENSP00000247191	0.000	0.000	0.000	0.000	0.911	0.000	0.000	0.000	0.911
BUB1B	DLGAP5	981056	977576	ENSP00000287598	ENSP00000247191	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.000	0.900
MAD2L1	RFC4	981786	981740	ENSP00000296509	ENSP00000296273	0.000	0.000	0.000	0.000	0.915	0.000	0.000	0.000	0.916
HMMR	CDC20	993371	983275	ENSP00000377492	ENSP00000308450	0.000	0.000	0.000	0.000	0.901	0.000	0.000	0.000	0.901
BIRC5	NCAPH	982434	977260	ENSP00000301633	ENSP00000240423	0.000	0.000	0.000	0.000	0.911	0.000	0.000	0.000	0.911
RFC4	MCM2	981740	979527	ENSP00000296273	ENSP00000265056	0.000	0.000	0.000	0.000	0.930	0.000	0.000	0.000	0.930
PRC1	ASPM	993399	989461	ENSP00000377793	ENSP00000356379	0.000	0.000	0.000	0.000	0.924	0.000	0.000	0.000	0.924
CEP55	FOXM1	990371	987226	ENSP00000360540	ENSP00000342307	0.000	0.000	0.000	0.000	0.904	0.000	0.000	0.000	0.904
PRC1	BUB1B	993399	981056	ENSP00000377793	ENSP00000287598	0.000	0.000	0.000	0.000	0.912	0.000	0.000	0.000	0.912
MKI67	CCNB1	989719	978198	ENSP00000357643	ENSP00000256442	0.000	0.000	0.000	0.000	0.903	0.000	0.000	0.000	0.903
PRC1	CDC20	993399	983275	ENSP00000377793	ENSP00000308450	0.000	0.000	0.000	0.000	0.903	0.000	0.000	0.000	0.903
RRM2	BUB1B	982609	981056	ENSP00000302955	ENSP00000287598	0.000	0.000	0.000	0.000	0.904	0.000	0.000	0.000	0.904
KIAA0101	NUSAP1	982226	978567	ENSP00000300035	ENSP00000260359	0.000	0.000	0.000	0.000	0.911	0.000	0.000	0.000	0.911
HMMR	CEP55	993371	990371	ENSP00000377492	ENSP00000360540	0.000	0.000	0.000	0.000	0.928	0.000	0.000	0.000	0.928
RRM2	CCNA2	982609	980270	ENSP00000302955	ENSP00000274026	0.000	0.000	0.000	0.000	0.908	0.000	0.000	0.000	0.908
BIRC5	NUSAP1	982434	978567	ENSP00000301633	ENSP00000260359	0.000	0.000	0.000	0.000	0.919	0.000	0.000	0.000	0.919
KIAA0101	MAD2L1	982226	981786	ENSP00000300035	ENSP00000296509	0.000	0.000	0.000	0.000	0.912	0.000	0.000	0.000	0.912
PRC1	BIRC5	993399	982434	ENSP00000377793	ENSP00000301633	0.000	0.000	0.000	0.000	0.936	0.000	0.000	0.000	0.936
RRM2	NUSAP1	982609	978567	ENSP00000302955	ENSP00000260359	0.000	0.000	0.000	0.000	0.903	0.000	0.000	0.000	0.903
CEP55	BIRC5	990371	982434	ENSP00000360540	ENSP00000301633	0.000	0.000	0.000	0.000	0.924	0.000	0.000	0.000	0.924
KIF20A	BIRC5	993457	982434	ENSP00000378356	ENSP00000301633	0.000	0.000	0.000	0.000	0.935	0.000	0.000	0.000	0.935
BUB1B	CCNB1	981056	978198	ENSP00000287598	ENSP00000256442	0.000	0.000	0.000	0.000	0.902	0.000	0.000	0.000	0.902
CDCA8	NCAPH	984132	977260	ENSP00000316121	ENSP00000240423	0.000	0.000	0.000	0.000	0.901	0.000	0.000	0.000	0.901
HMMR	DLGAP5	993371	977576	ENSP00000377492	ENSP00000247191	0.000	0.000	0.000	0.000	0.903	0.000	0.000	0.000	0.903
BIRC5	TPX2	982434	982281	ENSP00000301633	ENSP00000300403	0.000	0.000	0.000	0.000	0.922	0.000	0.000	0.000	0.922
TOP2A	MAD2L1	997342	981786	ENSP00000411532	ENSP00000296509	0.000	0.000	0.000	0.000	0.917	0.000	0.000	0.000	0.917
PRC1	PBK	993399	982475	ENSP00000377793	ENSP00000301905	0.000	0.000	0.000	0.000	0.923	0.000	0.000	0.000	0.923
KIAA0101	KIF11	982226	978609	ENSP00000300035	ENSP00000260731	0.000	0.000	0.000	0.000	0.907	0.000	0.000	0.000	0.907
CCNB1	DLGAP5	978198	977576	ENSP00000256442	ENSP00000247191	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.000	0.900
CEP55	TPX2	990371	982281	ENSP00000360540	ENSP00000300403	0.000	0.000	0.000	0.000	0.917	0.000	0.000	0.000	0.917
RRM2	CCNB1	982609	978198	ENSP00000302955	ENSP00000256442	0.000	0.000	0.000	0.000	0.916	0.000	0.000	0.000	0.916
MAD2L1	CCNA2	981786	980270	ENSP00000296509	ENSP00000274026	0.000	0.000	0.000	0.000	0.931	0.000	0.000	0.000	0.931
ASPM	NCAPG	989461	977793	ENSP00000356379	ENSP00000251496	0.000	0.000	0.000	0.000	0.903	0.000	0.000	0.000	0.903
MAD2L1	TRIP13	981786	975880	ENSP00000296509	ENSP00000166345	0.000	0.000	0.000	0.000	0.909	0.000	0.000	0.000	0.909
SHCBP1	PBK	983020	982475	ENSP00000306473	ENSP00000301905	0.000	0.000	0.000	0.000	0.926	0.000	0.000	0.000	0.927
TPX2	KIF11	982281	978609	ENSP00000300403	ENSP00000260731	0.000	0.000	0.000	0.000	0.901	0.000	0.000	0.000	0.901
CDCA8	BIRC5	984132	982434	ENSP00000316121	ENSP00000301633	0.000	0.000	0.000	0.000	0.923	0.000	0.000	0.000	0.923
KIF11	NUSAP1	978609	978567	ENSP00000260731	ENSP00000260359	0.000	0.000	0.000	0.000	0.924	0.000	0.000	0.000	0.924
CDKN3	CCNA2	986397	980270	ENSP00000335357	ENSP00000274026	0.000	0.000	0.000	0.000	0.902	0.000	0.000	0.000	0.902
BIRC5	CCNA2	982434	980270	ENSP00000301633	ENSP00000274026	0.000	0.000	0.000	0.000	0.919	0.000	0.000	0.000	0.919
KIF20A	HMMR	993457	993371	ENSP00000378356	ENSP00000377492	0.000	0.000	0.000	0.000	0.911	0.000	0.000	0.000	0.911
HMMR	NUSAP1	993371	978567	ENSP00000377492	ENSP00000260359	0.000	0.000	0.000	0.000	0.903	0.000	0.000	0.000	0.903
KIF20A	RRM2	993457	982609	ENSP00000378356	ENSP00000302955	0.000	0.000	0.000	0.000	0.909	0.000	0.000	0.000	0.909
HMMR	CCNA2	993371	980270	ENSP00000377492	ENSP00000274026	0.000	0.000	0.000	0.000	0.914	0.000	0.000	0.000	0.914
CCNB2	CCNA2	981103	980270	ENSP00000288207	ENSP00000274026	0.000	0.000	0.000	0.818	0.909	0.000	0.000	0.000	0.909
CKS2	CCNB1	991284	978198	ENSP00000364976	ENSP00000256442	0.000	0.000	0.000	0.000	0.901	0.000	0.000	0.000	0.901
PBK	BUB1B	982475	981056	ENSP00000301905	ENSP00000287598	0.000	0.000	0.000	0.000	0.933	0.000	0.000	0.000	0.933
PBK	NCAPG	982475	977793	ENSP00000301905	ENSP00000251496	0.000	0.000	0.000	0.000	0.934	0.000	0.000	0.000	0.934
CEP55	PBK	990371	982475	ENSP00000360540	ENSP00000301905	0.000	0.000	0.000	0.000	0.933	0.000	0.000	0.000	0.933
NDC80	NCAPG	978749	977793	ENSP00000261597	ENSP00000251496	0.000	0.000	0.000	0.000	0.913	0.000	0.000	0.000	0.913
HMMR	RRM2	993371	982609	ENSP00000377492	ENSP00000302955	0.000	0.000	0.000	0.000	0.903	0.000	0.000	0.000	0.903
KIF20A	NUSAP1	993457	978567	ENSP00000378356	ENSP00000260359	0.000	0.000	0.000	0.000	0.923	0.000	0.000	0.000	0.923
PRC1	CCNA2	993399	980270	ENSP00000377793	ENSP00000274026	0.000	0.000	0.000	0.000	0.906	0.000	0.000	0.000	0.906
HMMR	BUB1B	993371	981056	ENSP00000377492	ENSP00000287598	0.000	0.000	0.000	0.000	0.910	0.000	0.000	0.000	0.910
HMMR	CCNB2	993371	981103	ENSP00000377492	ENSP00000288207	0.000	0.000	0.000	0.000	0.909	0.000	0.000	0.000	0.909
